~~39|	|51
~~40|	|51
~~47|	|51
~~48|	|51
~~51|	|51
~~54|	|51
~~73|	|51
~~77|	|51
~~80|	|51
~~84|	|51
~~85|	|51
~~88|	|51
~~89|	|51
~~92|	|51
~~95|	|51
~~96|	|51
~~97|	|51
~~98|	|51
~~99|	|51
~~100|	|51
~~104|	|51
~~105|	|51
~~106|	|51
~~110|	|51
~~114|	|51
~~115|	|51
~~116|	|51
~~117|	|51
~~130|	|51
~~134|	|51
~~149|	|51
~~150|	|51
~~151|	|51
~~152|	|51
~~176|	|51
~~177|	|51
~~178|	|51
~~187|	|51
~~188|	|51
~~196|	|51
~~198|	|51
~~199|	|51
~~207|	|51
~~208|	|51
~~210|	|51
~~212|	|51
~~214|	|51
~~215|	|51
~~216|	|51
~~217|	|51
~~218|	|51
~~220|	|51
~~221|	|51
~~223|	|51
~~232|	|51
~~235|	|51
~~236|	|51
~~1|	|52
~~2|	|52
~~3|	|52
~~4|	|52
~~6|	|52
~~8|	|52
~~10|	|52
~~11|	|52
~~32|	|52
~~33|	|52
~~34|	|52
~~35|	|52
~~39|	|52
~~40|	|52
~~47|	|52
~~48|	|52
~~51|	|52
~~54|	|52
~~73|	|52
~~77|	|52
~~80|	|52
~~84|	|52
~~85|	|52
~~88|	|52
~~89|	|52
~~92|	|52
~~95|	|52
~~96|	|52
~~97|	|52
~~98|	|52
~~99|	|52
~~114|	|52
~~115|	|52
~~116|	|52
~~117|	|52
~~176|	|52
~~177|	|52
~~178|	|52
~~187|	|52
~~188|	|52
~~210|	|52
~~212|	|52
~~214|	|52
~~218|	|52
~~220|	|52
~~223|	|52
~~232|	|52
~~235|	|52
~~236|	|52
~~1|	|53
~~2|	|53
~~3|	|53
~~4|	|53
~~6|	|53
~~8|	|53
~~10|	|53
~~11|	|53
~~32|	|53
~~33|	|53
~~34|	|53
~~35|	|53
~~39|	|53
~~40|	|53
~~47|	|53
~~48|	|53
~~51|	|53
~~73|	|53
~~84|	|53
~~88|	|53
~~89|	|53
~~92|	|53
~~95|	|53
~~96|	|53
~~97|	|53
~~98|	|53
~~99|	|53
~~114|	|53
~~115|	|53
~~116|	|53
~~117|	|53
~~177|	|53
~~178|	|53
~~210|	|53
~~212|	|53
~~214|	|53
~~218|	|53
~~220|	|53
~~223|	|53
~~232|	|53
~~235|	|53
~~236|	|53
~~1|	|54
~~2|	|54
~~3|	|54
~~4|	|54
~~6|	|54
~~8|	|54
~~10|	|54
~~11|	|54
~~32|	|54
~~33|	|54
~~34|	|54
~~35|	|54
~~39|	|54
~~40|	|54
~~47|	|54
~~48|	|54
~~51|	|54
