~~853|	|188|	|387709|	|-1|	|2014-08-12 22:22:32.627
~~854|	|189|	|387709|	|-1|	|2014-08-12 22:22:32.630
~~855|	|182|	|388108|	|-1|	|2014-08-12 22:22:32.590
~~856|	|183|	|388108|	|-1|	|2014-08-12 22:22:32.607
~~857|	|184|	|388108|	|-1|	|2014-08-12 22:22:32.613
~~858|	|185|	|388108|	|-1|	|2014-08-12 22:22:32.617
~~859|	|186|	|388108|	|-1|	|2014-08-12 22:22:32.617
~~860|	|187|	|388108|	|-1|	|2014-08-12 22:22:32.620
~~861|	|188|	|388108|	|-1|	|2014-08-12 22:22:32.627
~~862|	|189|	|388108|	|-1|	|2014-08-12 22:22:32.630
~~863|	|182|	|389060|	|-1|	|2014-08-12 22:22:32.590
~~864|	|183|	|389060|	|-1|	|2014-08-12 22:22:32.607
~~865|	|184|	|389060|	|-1|	|2014-08-12 22:22:32.613
~~866|	|185|	|389060|	|-1|	|2014-08-12 22:22:32.617
~~867|	|186|	|389060|	|-1|	|2014-08-12 22:22:32.617
~~868|	|187|	|389060|	|-1|	|2014-08-12 22:22:32.620
~~869|	|188|	|389060|	|-1|	|2014-08-12 22:22:32.627
~~870|	|189|	|389060|	|-1|	|2014-08-12 22:22:32.630
~~871|	|182|	|389078|	|-1|	|2014-08-12 22:22:32.590
~~872|	|183|	|389078|	|-1|	|2014-08-12 22:22:32.607
~~873|	|184|	|389078|	|-1|	|2014-08-12 22:22:32.613
~~874|	|185|	|389078|	|-1|	|2014-08-12 22:22:32.617
~~875|	|186|	|389078|	|-1|	|2014-08-12 22:22:32.617
~~876|	|187|	|389078|	|-1|	|2014-08-12 22:22:32.620
~~877|	|188|	|389078|	|-1|	|2014-08-12 22:22:32.627
~~878|	|189|	|389078|	|-1|	|2014-08-12 22:22:32.630
~~879|	|182|	|389094|	|-1|	|2014-08-12 22:22:32.590
~~880|	|183|	|389094|	|-1|	|2014-08-12 22:22:32.607
~~881|	|184|	|389094|	|-1|	|2014-08-12 22:22:32.613
~~882|	|185|	|389094|	|-1|	|2014-08-12 22:22:32.617
~~883|	|186|	|389094|	|-1|	|2014-08-12 22:22:32.617
~~884|	|187|	|389094|	|-1|	|2014-08-12 22:22:32.620
~~885|	|188|	|389094|	|-1|	|2014-08-12 22:22:32.627
~~886|	|189|	|389094|	|-1|	|2014-08-12 22:22:32.630
~~
