~~146|	|2520|	|\\PRINTD01\DEHPM5035M08|	|1|	|1|	|3
~~147|	|2266|	||	|1|	|1|	|3
~~148|	|2563|	||	|1|	|1|	|3
~~149|	|3055|	||	|1|	|1|	|3
~~150|	|2982|	||	|1|	|1|	|3
~~151|	|4196|	||	|1|	|1|	|3
~~152|	|4366|	||	|1|	|1|	|3
~~153|	|4358|	||	|1|	|1|	|3
~~154|	|4243|	||	|1|	|1|	|3
~~155|	|4185|	||	|1|	|1|	|3
~~156|	|329|	||	|1|	|1|	|3
~~157|	|3061|	||	|1|	|1|	|3
~~158|	|4401|	||	|1|	|1|	|3
~~159|	|4230|	||	|1|	|1|	|3
~~160|	|4184|	||	|1|	|1|	|3
~~161|	|4355|	||	|1|	|1|	|3
~~162|	|4197|	||	|1|	|1|	|3
~~163|	|4189|	||	|1|	|1|	|3
~~164|	|4190|	||	|1|	|1|	|3
~~165|	|523|	||	|2|	|1|	|3
~~166|	|4193|	||	|1|	|1|	|3
~~167|	|4235|	||	|1|	|1|	|3
~~168|	|4194|	||	|1|	|1|	|3
~~169|	|4364|	||	|1|	|1|	|3
~~170|	|4246|	||	|1|	|1|	|3
~~171|	|350|	|\\utilprdsar001\SAR001PR022|	|1|	|1|	|3
~~172|	|401|	|\\utilprdsar001\SAR001PR022|	|1|	|1|	|3
~~173|	|2515|	|\\prtprdden001\DEN001PR070|	|1|	|1|	|3
~~174|	|454|	|\\PRINT201\SAHP5035M11|	|1|	|1|	|3
~~175|	|494|	|\\utilprdsar001\SAR001PR077|	|1|	|1|	|3
~~176|	|509|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~177|	|4369|	||	|1|	|1|	|3
~~178|	|3194|	|\\PRINT201\SAHP3035M06|	|1|	|0|	|3
~~179|	|4348|	||	|1|	|1|	|3
~~180|	|364|	|\\print201\SAHP3035M04|	|1|	|1|	|3
~~181|	|460|	||	|1|	|1|	|3
~~182|	|2309|	||	|2|	|0|	|3
~~183|	|2483|	||	|2|	|1|	|3
~~184|	|437|	|\\utilprdsar001\SAR001PR041|	|1|	|1|	|3
~~185|	|498|	|\\PRINT201\SAHP5035M11|	|1|	|1|	|3
~~186|	|2504|	|\\PRTPRDDEN001\DEN001PR107|	|2|	|0|	|3
~~187|	|3095|	|\\http://prtprdden001\DEN001PR129|	|2|	|0|	|3
~~188|	|2464|	||	|2|	|0|	|3
~~189|	|4354|	||	|1|	|1|	|3
~~190|	|3100|	||	|2|	|0|	|3
