1|	|8438
~~2032|	|138007
~~2033|	|131354
~~2033|	|132375
~~2033|	|132933
~~2033|	|133290
~~2033|	|133532
~~2033|	|133831
~~2033|	|135925
~~2034|	|126750
~~2034|	|126763
~~2034|	|126809
~~2034|	|129068
~~2034|	|129880
~~2034|	|131354
~~2035|	|138021
~~2035|	|138034
~~2035|	|138363
~~2036|	|138363
~~2036|	|153048
~~2037|	|146352
~~2037|	|147323
~~2037|	|151826
~~2037|	|152211
~~2037|	|155560
~~2037|	|155562
~~2038|	|116464
~~2038|	|117827
~~2038|	|122735
~~2039|	|137819
~~2039|	|137844
~~2039|	|137961
~~2039|	|137963
~~2039|	|138007
~~2040|	|126749
~~2041|	|126750
~~2041|	|126763
~~2041|	|126809
~~2041|	|129068
~~2041|	|129880
~~2041|	|131354
~~2042|	|138021
~~2042|	|138034
~~2042|	|138363
~~2043|	|138363
~~2043|	|153048
~~2044|	|146352
~~2044|	|147323
~~2046|	|116464
~~2046|	|117827
~~2046|	|122735
~~2047|	|122735
~~2048|	|122735
~~2049|	|116562
~~2049|	|116868
~~2049|	|116896
~~2049|	|116913
~~2049|	|117142
~~2049|	|117306
~~2049|	|117412
~~2049|	|117816
~~2049|	|117822
~~2050|	|117142
~~2050|	|117412
~~2050|	|117816
~~2050|	|117822
~~2051|	|118288
~~2051|	|118308
~~2052|	|118288
~~2052|	|124360
~~2053|	|118288
~~2053|	|118309
~~2053|	|118411
~~2053|	|118423
~~2053|	|118920
~~2053|	|119040
~~2053|	|119047
~~2053|	|119078
~~2053|	|119110
~~2053|	|119141
~~2053|	|119155
~~2053|	|119205
~~2053|	|119228
~~2053|	|119231
~~2053|	|119404
~~2053|	|119572
~~2053|	|119590
~~2053|	|119593
~~2054|	|118288
~~2054|	|118309
~~2054|	|118423
~~2054|	|118527
~~2054|	|118690
~~2054|	|119155
~~2054|	|119205
~~2054|	|119231
~~2054|	|119404
~~2054|	|119590
~~2055|	|125248
~~2056|	|124361
~~2056|	|124549
~~2056|	|124808
~~2056|	|125032
~~2056|	|125061
~~2056|	|125537
~~2056|	|125649
~~2056|	|125686
~~2056|	|125694
~~2056|	|125702
~~2056|	|125710
~~2056|	|125748
~~2056|	|125810
~~2056|	|125856
~~2056|	|125912
~~2056|	|125968
~~2056|	|126046
~~2056|	|126267
~~2056|	|126318
~~2057|	|124361
~~2057|	|124549
~~2057|	|124808
~~2057|	|124984
~~2057|	|125008
~~2057|	|125163
~~2057|	|125194
~~2057|	|125224
~~2057|	|125537
~~2057|	|125649
~~2057|	|125710
~~2057|	|125748
~~2057|	|125798
~~2057|	|125810
~~2057|	|126123
~~2057|	|126195
~~2057|	|126267
~~2057|	|126318
~~2058|	|114415
~~2058|	|114706
~~2058|	|114830
~~2058|	|114927
~~2058|	|114977
~~2058|	|115024
~~2058|	|115173
~~2058|	|115264
~~2058|	|115315
~~2058|	|115366
~~2058|	|115418
~~2058|	|115457
~~2058|	|115508
~~2058|	|115604
~~2058|	|115656
~~2058|	|115693
~~2058|	|115807
~~2058|	|115810
~~2058|	|116319
~~2058|	|116344
~~2058|	|116369
~~2058|	|116392
~~2058|	|116437
~~2059|	|114415
~~2059|	|114830
~~2059|	|114900
~~2059|	|114927
~~2059|	|115024
~~2059|	|115061
~~2059|	|115508
~~2059|	|115604
~~2059|	|115656
~~2059|	|115693
~~2059|	|115807
~~2059|	|116392
~~2059|	|116437
~~2059|	|116443
~~2059|	|124361
~~2059|	|124549
~~2059|	|124808
~~2059|	|125248
