~~306|	|68|	|7|	|20|	|
~~313|	|72|	|7|	|20|	|
~~314|	|77|	|7|	|20|	|
~~317|	|56|	|7|	|20|	|
~~318|	|61|	|7|	|20|	|
~~324|	|79|	|7|	|20|	|
~~328|	|86|	|7|	|20|	|
~~329|	|91|	|7|	|20|	|
~~330|	|70|	|7|	|20|	|
~~333|	|83|	|7|	|20|	|
~~337|	|56|	|8|	|23|	|
~~530|	|51|	|2|	|2|	|4
~~531|	|51|	|3|	|6|	|
~~532|	|51|	|4|	|10|	|8
~~533|	|51|	|5|	|16|	|
~~534|	|51|	|6|	|18|	|17
~~535|	|51|	|7|	|19|	|
~~536|	|58|	|2|	|4|	|3
~~537|	|58|	|3|	|6|	|
~~538|	|58|	|4|	|8|	|7
~~539|	|58|	|5|	|16|	|
~~540|	|58|	|6|	|18|	|17
~~541|	|58|	|7|	|20|	|
~~542|	|66|	|2|	|4|	|3
~~543|	|66|	|3|	|6|	|
~~544|	|66|	|4|	|8|	|7
~~545|	|66|	|5|	|16|	|
~~546|	|66|	|6|	|18|	|17
~~547|	|66|	|7|	|20|	|
~~548|	|74|	|2|	|4|	|3
~~549|	|74|	|3|	|6|	|
~~550|	|74|	|4|	|8|	|7
~~551|	|74|	|5|	|16|	|
~~552|	|74|	|6|	|18|	|17
~~553|	|74|	|7|	|20|	|
~~554|	|88|	|2|	|4|	|3
~~555|	|88|	|3|	|6|	|
~~556|	|88|	|4|	|8|	|7
~~557|	|88|	|5|	|16|	|
~~558|	|88|	|6|	|18|	|17
~~559|	|88|	|7|	|20|	|
~~560|	|93|	|2|	|4|	|3
~~561|	|93|	|3|	|5|	|
~~562|	|93|	|4|	|8|	|7
~~563|	|93|	|5|	|15|	|
~~564|	|93|	|6|	|18|	|17
~~565|	|93|	|7|	|20|	|
~~566|	|95|	|2|	|4|	|3
~~567|	|95|	|3|	|6|	|
~~568|	|95|	|4|	|8|	|7
~~569|	|95|	|5|	|16|	|
~~570|	|95|	|6|	|18|	|17
~~571|	|95|	|7|	|20|	|
~~572|	|98|	|2|	|4|	|3
~~573|	|98|	|3|	|6|	|
~~574|	|98|	|4|	|8|	|7
~~575|	|98|	|5|	|16|	|
~~576|	|98|	|6|	|18|	|17
~~577|	|98|	|7|	|20|	|
~~578|	|100|	|2|	|4|	|3
~~579|	|100|	|3|	|6|	|
~~580|	|100|	|4|	|8|	|7
~~581|	|100|	|5|	|16|	|
~~582|	|100|	|6|	|18|	|17
~~583|	|100|	|7|	|20|	|
~~584|	|101|	|2|	|4|	|3
~~585|	|101|	|3|	|6|	|
~~586|	|101|	|4|	|8|	|7
