~~728|	|1|	|15|	|2
~~729|	|1|	|16|	|2
~~730|	|1|	|17|	|2
~~731|	|1|	|18|	|2
~~732|	|1|	|19|	|2
~~733|	|1|	|20|	|2
~~734|	|1|	|21|	|2
~~735|	|1|	|22|	|2
~~736|	|1|	|23|	|2
~~737|	|1|	|24|	|2
~~738|	|1|	|25|	|2
~~780|	|1|	|67|	|2
~~890|	|1|	|2224|	|2
~~891|	|1|	|2225|	|2
~~892|	|1|	|2226|	|2
~~893|	|1|	|2227|	|2
~~894|	|1|	|2228|	|2
~~895|	|1|	|2229|	|2
~~896|	|1|	|2230|	|2
~~897|	|1|	|2231|	|2
~~898|	|1|	|2232|	|2
~~899|	|1|	|2233|	|2
~~900|	|1|	|2234|	|2
~~901|	|1|	|2235|	|2
~~902|	|1|	|2236|	|2
~~903|	|1|	|2237|	|2
~~904|	|1|	|2238|	|2
~~905|	|1|	|2239|	|2
~~906|	|1|	|2240|	|2
~~907|	|1|	|2241|	|2
~~908|	|1|	|2242|	|2
~~909|	|1|	|2243|	|2
~~910|	|1|	|2244|	|2
~~911|	|1|	|2245|	|2
~~912|	|1|	|2246|	|2
~~913|	|1|	|2247|	|2
~~914|	|1|	|2248|	|2
~~919|	|1|	|2253|	|2
~~1195|	|1|	|2532|	|2
~~1201|	|1|	|2538|	|2
~~1202|	|1|	|2539|	|2
~~26|	|2|	|26|	|1
~~27|	|2|	|27|	|1
~~28|	|2|	|28|	|1
~~29|	|2|	|29|	|1
~~30|	|2|	|30|	|1
~~31|	|2|	|31|	|1
~~32|	|2|	|32|	|1
~~33|	|2|	|33|	|1
~~34|	|2|	|34|	|1
~~35|	|2|	|35|	|1
~~36|	|2|	|36|	|1
~~37|	|2|	|37|	|1
~~38|	|2|	|38|	|1
~~39|	|2|	|39|	|1
~~40|	|2|	|40|	|1
~~41|	|2|	|41|	|1
~~42|	|2|	|42|	|1
~~43|	|2|	|43|	|1
~~44|	|2|	|44|	|1
~~45|	|2|	|45|	|1
~~46|	|2|	|46|	|1
~~47|	|2|	|47|	|1
~~48|	|2|	|48|	|1
~~49|	|2|	|49|	|1
~~50|	|2|	|50|	|1
~~51|	|2|	|51|	|1
~~52|	|2|	|52|	|1
~~53|	|2|	|53|	|1
~~54|	|2|	|54|	|1
~~55|	|2|	|55|	|1
~~56|	|2|	|56|	|1
~~57|	|2|	|57|	|1
~~58|	|2|	|58|	|1
~~59|	|2|	|59|	|1
~~60|	|2|	|60|	|1
~~61|	|2|	|61|	|1
~~62|	|2|	|62|	|1
~~63|	|2|	|63|	|1
~~64|	|2|	|64|	|1
~~65|	|2|	|65|	|1
~~66|	|2|	|66|	|1
~~270|	|2|	|2251|	|1
~~271|	|2|	|2252|	|1
~~356|	|2|	|2337|	|1
~~357|	|2|	|2338|	|1
~~358|	|2|	|2339|	|1
~~359|	|2|	|2340|	|1
~~360|	|2|	|2341|	|1
~~361|	|2|	|2342|	|1
~~362|	|2|	|2343|	|1
~~363|	|2|	|2344|	|1
~~364|	|2|	|2345|	|1
~~365|	|2|	|2346|	|1
~~366|	|2|	|2347|	|1
~~367|	|2|	|2348|	|1
~~368|	|2|	|2349|	|1
~~369|	|2|	|2350|	|1
~~370|	|2|	|2351|	|1
~~371|	|2|	|2352|	|1
~~372|	|2|	|2353|	|1
~~373|	|2|	|2354|	|1
~~374|	|2|	|2355|	|1
~~375|	|2|	|2356|	|1
~~376|	|2|	|2357|	|1
~~377|	|2|	|2358|	|1
~~378|	|2|	|2359|	|1
~~379|	|2|	|2360|	|1
~~380|	|2|	|2361|	|1
~~381|	|2|	|2362|	|1
~~382|	|2|	|2363|	|1
~~383|	|2|	|2364|	|1
~~384|	|2|	|2365|	|1
~~385|	|2|	|2366|	|1
~~386|	|2|	|2367|	|1
~~387|	|2|	|2368|	|1
~~388|	|2|	|2369|	|1
~~389|	|2|	|2370|	|1
~~390|	|2|	|2371|	|1
~~391|	|2|	|2372|	|1
~~392|	|2|	|2373|	|1
~~393|	|2|	|2374|	|1
~~394|	|2|	|2375|	|1
~~395|	|2|	|2376|	|1
~~396|	|2|	|2377|	|1
~~397|	|2|	|2378|	|1
~~398|	|2|	|2379|	|1
~~399|	|2|	|2380|	|1
~~400|	|2|	|2381|	|1
~~401|	|2|	|2382|	|1
~~402|	|2|	|2383|	|1
~~403|	|2|	|2384|	|1
~~404|	|2|	|2385|	|1
