~~2787153|	|1221433|	|6FI-15|	|2.3|	|10|	|0|	||	|14838|	|0
~~2787154|	|1221433|	|6FI-40|	|154/100|	|11|	|0|	||	|14839|	|0
~~2787155|	|1221433|	|6T-5 DP|	|1|	|12|	|0|	||	|14840|	|0
~~2787156|	|1221433|	|6T-6 DP|	|9|	|13|	|0|	||	|14841|	|0
~~2787157|	|1221433|	|6T-7 DP|	|1.5|	|14|	|0|	||	|14842|	|0
~~2787158|	|1221433|	|6C-8 steam|	|Yes|	|15|	|0|	||	|14843|	|0
~~2787183|	|1221443|	|300ASV-1021A|	|Online|	|0|	|2|	||	|20609|	|1
~~2787184|	|1221443|	|300ASV-2021A|	|Online|	|1|	|2|	||	|20610|	|1
~~2787185|	|1221443|	|300ASV-3021A|	|Standby|	|2|	|2|	||	|20611|	|1
~~2787186|	|1221443|	|300ASV-1021B|	|Online|	|3|	|2|	||	|20612|	|1
~~2787187|	|1221443|	|300ASV-2021B|	|Online|	|4|	|2|	||	|20613|	|1
~~2787188|	|1221443|	|300ASV-3021B|	|Standby|	|5|	|2|	||	|20614|	|1
~~2787203|	|1221457|	|FWKO Interface Tap|	|8-5|	|0|	|0|	||	|596|	|0
~~2787204|	|1221457|	|Treater 1200 Interface Tap|	|6|	|1|	|0|	||	|597|	|0
~~2787205|	|1221457|	|Treater 1220 Interface Tap|	|6|	|2|	|0|	||	|598|	|0
~~2787206|	|1221457|	|Exp FWKO Interface Tap|	|5-5|	|3|	|0|	||	|599|	|0
~~2787207|	|1221457|	|Exp Treater 1240 Interface Tap|	|5-5|	|4|	|0|	||	|600|	|0
~~2787208|	|1221457|	|BS&W|	|0.4|	|5|	|0|	||	|601|	|0
~~2787209|	|1221457|	|Skim Tank Interface Tap|	|6|	|6|	|0|	||	|602|	|0
~~2787211|	|1221476|	|99F-1015 Stack Top Temp(degrees C)|	|Offline|	|0|	|0|	||	|626|	|0
~~2787212|	|1221476|	|99K-1000A (online/offline)|	|Offline|	|1|	|0|	||	|627|	|0
~~2787213|	|1221476|	|91K-1000A (online/offline)|	|Online|	|2|	|0|	||	|628|	|0
~~2787214|	|1221476|	|99F-1016 Stack Top Temp(degrees C)|	|293|	|3|	|0|	||	|629|	|0
~~2787215|	|1221476|	|99K-1000B (online/offline)|	|Online|	|4|	|0|	||	|630|	|0
~~2787216|	|1221476|	|91K-1000B (online/offline)|	|Online|	|5|	|0|	||	|631|	|0
~~2787217|	|1221476|	|99F-1113 (online/offline)|	|Online|	|6|	|0|	||	|632|	|0
~~2787218|	|1221476|	|99F-1111 (online/offline)|	|Offline|	|7|	|0|	||	|633|	|0
~~2787219|	|1221476|	|Amine Concentration (%)|	|46.51|	|8|	|0|	||	|707|	|0
~~2787220|	|1221476|	|99F-1213 (online/offline)|	|Offline|	|9|	|0|	||	|708|	|0
~~2787221|	|1221476|	|99F-1211 (online/offline)|	|Online|	|10|	|0|	||	|709|	|0
~~2787222|	|1221476|	|Amine Lean Loading (moles)|	|0.00752|	|11|	|0|	||	|710|	|0
~~2787262|	|1221482|	|Press Online|	|B|	|0|	|0|	||	|419|	|0
~~2787263|	|1221483|	|WLS Flow Rate|	|240|	|0|	|0|	||	|266|	|0
~~2787264|	|1221483|	|WLS Bed Level|	|1.83|	|1|	|0|	||	|267|	|0
~~2787265|	|1221483|	|Glycol Heater Online|	|standby|	|5|	|0|	||	|726|	|0
~~2787315|	|1221490|	|86AE-1002   86G-12|	|S/B|	|0|	|2|	||	|18701|	|0
~~2787316|	|1221490|	|86AE-1004   86G-22|	|O/L|	|1|	|2|	||	|18702|	|0
~~2787317|	|1221490|	|86AE-1022   86G-1|	|O/L|	|2|	|2|	||	|18703|	|0
~~2787318|	|1221490|	|86AE-1020   86G-12|	|O/L|	|3|	|2|	||	|18704|	|0
~~2787319|	|1221490|	|86AE-1021   86G-22|	|S/B|	|4|	|2|	||	|18705|	|0
~~2787320|	|1221490|	|86AE-1023   86G-2|	|S/B|	|5|	|2|	||	|18706|	|0
~~2787492|	|1221558|	|Plt 2 Sample Time, HH:MM|	|20:00|	|0|	|0|	||	|20617|	|0
~~2787493|	|1221558|	|Plt 4 Sample Time, HH:MM|	|20:30|	|1|	|0|	||	|20618|	|0
~~2787514|	|1221497|	|Team #|	|1|	|0|	|2|	||	|16516|	|0
~~2787515|	|1221497|	|Shift Supervisor|	|Tim Taylor|	|1|	|2|	||	|16517|	|0
~~2787516|	|1221497|	|Master Engineer|	|Steve Martin|	|2|	|2|	||	|16518|	|0
~~2787517|	|1221497|	|First Assistant Engineer|	|S. Yonev|	|3|	|2|	||	|16519|	|0
~~2787518|	|1221497|	|First Engineer(2)|	|P. Hicks|	|4|	|2|	||	|16520|	|0
~~2787519|	|1221497|	|2nd Assistant Engineer|	|K. Mohny Ud Din|	|5|	|2|	||	|16521|	|0
~~2787520|	|1221497|	|Assistant Engineer, Boiler House|	|J. Caruso|	|6|	|2|	||	|16522|	|0
~~2787521|	|1221497|	|Assistant Engineer, Trainee|	|A.Lethbridge|	|7|	|0|	||	|16523|	|0
~~2787522|	|1221497|	|On Vacation|	|M.NG|	|9|	|0|	||	|16525|	|0
~~2787523|	|1221497|	|SWAP Observations:|	|0|	|13|	|2|	||	|16529|	|0
~~2787524|	|1221497|	|Emergency Responder|	|0|	|14|	|0|	||	|16530|	|0
~~2787525|	|1221497|	|Natural Gas M=|	||	|15|	|1|	|16.400000|	|16531|	|0
~~2787526|	|1221497|	|Bunker Consumption|	||	|16|	|1|	|4.000000|	|16532|	|0
~~2787527|	|1221497|	|Lean Amine in Grains|	||	|17|	|1|	|250.000000|	|16533|	|0
~~2787528|	|1221497|	|Amine Strength in %|	||	|18|	|1|	|15.000000|	|16534|	|0
~~2787529|	|1221497|	|PH is|	||	|19|	|1|	|10.000000|	|16535|	|0
~~2787530|	|1221497|	|Foul Condensate Charge in GPM|	||	|22|	|1|	|54.776000|	|16538|	|1
~~2787531|	|1221497|	|From tank 161|	||	|23|	|1|	|55.120000|	|16539|	|1
~~2787532|	|1221497|	|From Tank 83|	||	|24|	|1|	|-1.646000|	|16540|	|1
~~2787533|	|1221497|	|Sour Water Stripper Bottoms S2(ppb)|	||	|25|	|1|	|500.000000|	|16541|	|0
~~2787534|	|1221497|	|Sour Water Stripper Bottoms NH3(ppm)|	||	|26|	|1|	|2.000000|	|16542|	|0
~~2787535|	|1221497|	|Sour Water Stripper Bottoms PH|	||	|27|	|1|	|8.000000|	|16543|	|0
~~2787536|	|1221497|	|North Stack|	|OK|	|28|	|2|	||	|16544|	|0
~~2787537|	|1221497|	|South Stack|	|OK|	|29|	|2|	||	|16545|	|0
~~2787538|	|1221497|	|SO2 POI Hourly Avg. UG/M3|	||	|30|	|1|	|13.115000|	|16546|	|1
~~2787539|	|1221497|	|SO2 POI Peak UG/M3|	||	|31|	|1|	|188.658000|	|16547|	|1
~~2787540|	|1221497|	|Steam Production in MPPH|	||	|32|	|1|	|280.879000|	|16548|	|1
~~2787541|	|1221497|	|Boiler Blowndown|	|YES|	|33|	|2|	||	|16549|	|0
~~2787542|	|1221497|	|Boiler Levels Checked|	|YES|	|34|	|2|	||	|16550|	|0
~~2787543|	|1221497|	|#9 Burners Cleaned|	|YES|	|35|	|2|	||	|16551|	|0
~~2787544|	|1221497|	|#13 Burners Cleaned|	|YES|	|36|	|2|	||	|16552|	|0
~~2787545|	|1221497|	|Soot Blowing Done|	|#9 & #13 Boilers|	|37|	|2|	||	|16553|	|0
~~2787546|	|1221497|	|Screens Cleaned at Cooling Tower|	|NO|	|38|	|2|	||	|16554|	|0
~~2787547|	|1221497|	|Drained to API|	|FGMD|	|40|	|0|	||	|16556|	|0
~~2787548|	|1221497|	|Diesel Air Compressor Run|	|yes|	|41|	|0|	||	|16557|	|0
~~2787549|	|1221497|	|Methanol Added to|	|no|	|42|	|2|	||	|16558|	|0
~~2787550|	|1221497|	|Rounds Made|	|White Oils & Phoenix Units|	|43|	|2|	||	|16559|	|0
~~2787551|	|1221497|	|N2 Plant Rounds|	|YES|	|44|	|2|	||	|16560|	|0
~~2787552|	|1221497|	|SO2 Excursions=|	|0|	|45|	|0|	||	|16561|	|0
~~2787553|	|1221497|	|#1 Trap Condition|	|ok|	|46|	|0|	||	|16562|	|0
~~2787554|	|1221497|	|O/H Condenser Pressure|	||	|47|	|1|	|22.000000|	|16563|	|0
~~2787555|	|1221497|	|Chlorine Reading WPH|	||	|48|	|1|	|.400000|	|16564|	|0
~~2787556|	|1221497|	|#1 Trap|	||	|49|	|1|	|.000000|	|16565|	|0
~~2787557|	|1221497|	|#3 Trap|	||	|50|	|1|	|.000000|	|16566|	|0
~~2787558|	|1221497|	|Tank 752 Level in feet|	||	|51|	|1|	|13.514000|	|16567|	|1
~~2787559|	|1221497|	|752Tk to 4 Trap GPM|	||	|52|	|1|	|84.360000|	|16568|	|1
~~2787560|	|1221497|	|A Basin to 4 Trap GPM|	||	|53|	|1|	|103.518000|	|16569|	|1
~~2787561|	|1221497|	|Fire Diesel Pumps|	|east and west on auto|	|54|	|2|	||	|16570|	|0
~~2787765|	|1221591|	|Seal Level %|	||	|1|	|1|	|1.500000|	|5459|	|0
~~2787766|	|1221591|	|Pilot Gas Pressure|	||	|2|	|1|	|23.000000|	|5460|	|0
~~2787767|	|1221591|	|Purge Gas Pressure Before Seal|	||	|3|	|1|	|23.000000|	|5461|	|0
~~2787768|	|1221591|	|Purge Gas After Seal|	||	|4|	|1|	|25.000000|	|5462|	|0
~~2787769|	|1221591|	|Flare Gas Pressure Before Seal|	||	|5|	|1|	|1.500000|	|5463|	|0
~~2787770|	|1221591|	|Pilots Visual Check|	|Ok|	|6|	|2|	||	|5464|	|0
~~2787771|	|1221591|	|Excessive Stack Steam|	|Ok|	|7|	|2|	||	|5465|	|0
~~2787772|	|1221591|	|Liquid Trap Out Pan|	|Ok|	|8|	|2|	||	|5466|	|0
