~~1221477|	|SR1-PLT3-FSP3
~~1221478|	|EX1-P003-BLDI, EX1-P003-COMS, EX1-P003-COND, EX1-P003-CPEW, EX1-P003-DPND, EX1-P003-EPND, EX1-P003-HPEW, EX1-P003-HPSW, EX1-P003-IAIR, EX1-P003-LPSW, EX1-P003-NGAS, EX1-P003-UAIR, EX1-P003-USTM, EX1-P003-WHRU, EX1-P300-BLDI, EX1-P300-COMS, EX1-P300-CPEW, EX1-P300-GYPS, EX1-P300-HPEW, EX1-P300-LPSW, EX1-P300-MFTT, EX1-P300-PAIR, EX1-P300-UAIR, EX1-P300-UWTR
~~1221479|	|FB1-P103, FB1-P104
~~1221480|	|MT1-A002-U470
~~1221481|	|FB1-P101, FB1-P102, FB1-P103, FB1-P104, FB1-P105, FB1-P106, FB1-P107, FB1-P108, FB1-P116
~~1221482|	|FB1-FBOP-0900, FB1-P092-7000
~~1221483|	|FB1-P091-3000, FB1-P091-6000, FB1-P091-7000
~~1221484|	|UP2-P055-GHU2
~~1221485|	|UP1-P005-COMS, UP1-P005-DCU1
~~1221486|	|SR1-PLT1-GEN1
~~1221487|	|MT1-A001-U020-SMP-J0294A
~~1221488|	|MT1-A003-U174
~~1221489|	|MI1-A001-IFST, MI1-A001-U016, MI1-A001-U027
~~1221490|	|EX1-P086-BLDI, EX1-P086-COMS, EX1-P086-CPEW, EX1-P086-DPND, EX1-P086-EPND, EX1-P086-FRTH, EX1-P086-HPEW, EX1-P086-HPSW, EX1-P086-HT01, EX1-P086-HT02, EX1-P086-HT03, EX1-P086-IAIR, EX1-P086-LPSW, EX1-P086-NGAS, EX1-P086-OPLT, EX1-P086-PST1, EX1-P086-PST2, EX1-P086-PWTR, EX1-P086-TOOL, EX1-P086-UAIR, EX1-P086-UWTR
~~1221491|	|ED1-A003-U052-SMP-G0005B
~~1221492|	|SR1-PLT1-SSP1
~~1221493|	|DN1-3003-0000, DN1-3003-0001, DN1-3003-0002, DN1-3003-0003, DN1-3003-0004, DN1-3003-0007, DN1-3003-0009, DN1-3003-0051, DN1-3003-0053, DN1-3003-0054, DN1-3003-0057, DN1-3003-0072, DN1-3003-0205, DN1-3003-0208, DN1-3003-0241, DN1-3003-0252
~~1221494|	|OS1-P030-MAIN-SEG-EDD001
