~~35374|	|2014-08-06 01:49:27.483|	|2014-08-06 01:49:27.483|	|5277
~~35375|	|2014-08-06 01:49:38.203|	|2014-08-06 01:49:38.203|	|5277
~~35376|	|2014-08-06 01:49:51.663|	|2014-08-06 01:49:51.663|	|5277
~~35377|	|2014-08-06 04:45:39.887|	|2014-08-06 04:45:39.887|	|5277
~~35378|	|2014-08-06 04:45:45.690|	|2014-08-06 04:45:45.690|	|5277
~~35379|	|2014-08-06 04:46:21.880|	|2014-08-06 04:46:21.880|	|5277
~~35380|	|2014-08-06 05:02:30.733|	|2014-08-06 05:02:30.733|	|5600
~~35381|	|2014-08-06 05:02:41.263|	|2014-08-06 05:02:41.263|	|5600
~~35382|	|2014-08-06 05:02:52.853|	|2014-08-06 05:02:52.853|	|5600
~~35383|	|2014-08-06 05:03:04.693|	|2014-08-06 05:03:04.693|	|5600
~~35384|	|2014-08-06 06:16:02.593|	|2014-08-06 06:16:02.593|	|6051
~~35385|	|2014-08-06 06:16:10.180|	|2014-08-06 06:16:10.180|	|6051
~~35386|	|2014-08-06 06:16:27.810|	|2014-08-06 06:16:27.810|	|6051
~~35387|	|2014-08-06 06:16:54.337|	|2014-08-06 06:16:54.337|	|6051
~~35388|	|2014-08-06 06:17:02.193|	|2014-08-06 06:17:02.193|	|6051
~~35389|	|2014-08-06 06:17:06.563|	|2014-08-06 06:17:06.563|	|6051
~~35390|	|2014-08-06 09:06:10.853|	|2014-08-06 09:06:10.853|	|8643
~~35391|	|2014-08-06 09:55:19.193|	|2014-08-06 09:55:19.193|	|5770
~~35392|	|2014-08-06 09:55:31.437|	|2014-08-06 09:55:31.437|	|5770
~~35406|	|2014-08-06 10:29:21.487|	|2014-08-06 15:14:52.737|	|7503
~~35407|	|2014-08-06 10:29:29.507|	|2014-08-06 15:15:12.500|	|7503
~~35408|	|2014-08-06 10:29:36.903|	|2014-08-06 15:15:31.673|	|7503
~~35409|	|2014-08-06 10:29:43.510|	|2014-08-06 15:15:49.007|	|7503
~~35410|	|2014-08-06 10:29:49.643|	|2014-08-06 15:16:04.700|	|7503
~~35411|	|2014-08-06 10:29:56.350|	|2014-08-06 15:16:23.840|	|7503
~~35412|	|2014-08-06 10:30:04.043|	|2014-08-06 15:16:50.017|	|7503
~~35413|	|2014-08-06 10:30:21.903|	|2014-08-06 15:17:10.873|	|7503
~~35414|	|2014-08-06 10:30:27.903|	|2014-08-06 15:17:27.223|	|7503
~~35415|	|2014-08-06 10:30:35.140|	|2014-08-06 15:17:44.557|	|7503
~~35416|	|2014-08-06 10:30:41.383|	|2014-08-06 15:18:02.590|	|7503
~~35417|	|2014-08-06 10:30:46.623|	|2014-08-06 15:19:06.257|	|7503
~~35418|	|2014-08-06 10:32:30.023|	|2014-08-06 15:21:03.710|	|7503
~~35419|	|2014-08-06 10:32:49.713|	|2014-08-06 15:22:48.153|	|7503
~~35420|	|2014-08-06 10:33:15.740|	|2014-08-06 15:23:12.147|	|7503
~~35421|	|2014-08-06 10:33:49.790|	|2014-08-06 15:24:00.850|	|7503
~~35422|	|2014-08-06 10:34:12.043|	|2014-08-06 15:25:04.837|	|7503
~~35423|	|2014-08-06 10:34:18.163|	|2014-08-06 15:26:53.460|	|7503
~~35424|	|2014-08-06 10:34:49.213|	|2014-08-06 15:27:15.830|	|7503
~~35425|	|2014-08-06 10:34:57.530|	|2014-08-06 15:32:24.757|	|7503
~~35426|	|2014-08-06 10:35:03.950|	|2014-08-06 15:33:00.513|	|7503
~~35427|	|2014-08-06 10:35:10.000|	|2014-08-06 10:35:10.000|	|7503
~~35428|	|2014-08-06 10:35:23.997|	|2014-08-06 10:35:23.997|	|7503
~~35429|	|2014-08-06 10:35:30.920|	|2014-08-06 10:35:30.920|	|7503
~~35430|	|2014-08-06 10:35:37.780|	|2014-08-06 10:35:37.780|	|7503
~~35431|	|2014-08-06 10:35:48.920|	|2014-08-06 10:35:48.920|	|7503
~~35432|	|2014-08-06 10:46:13.490|	|2014-08-06 10:46:13.490|	|5770
~~35433|	|2014-08-06 11:42:53.043|	|2014-08-06 11:42:53.043|	|5949
~~35434|	|2014-08-06 11:43:31.357|	|2014-08-06 11:43:31.357|	|5949
~~35435|	|2014-08-06 11:43:38.500|	|2014-08-06 11:43:38.500|	|5949
~~35436|	|2014-08-06 14:51:50.907|	|2014-08-06 14:51:50.907|	|5770
~~35437|	|2014-08-06 14:52:32.760|	|2014-08-06 14:52:32.760|	|5770
~~35438|	|2014-08-06 14:53:11.700|	|2014-08-06 14:53:11.700|	|5770
~~35439|	|2014-08-06 14:54:23.803|	|2014-08-06 14:55:41.163|	|5770
~~35440|	|2014-08-06 15:40:08.503|	|2014-08-06 15:40:08.503|	|5949
~~35441|	|2014-08-06 15:40:16.617|	|2014-08-06 15:40:16.617|	|5949
~~35442|	|2014-08-06 15:40:25.790|	|2014-08-06 15:40:25.790|	|5949
~~35443|	|2014-08-06 15:57:02.577|	|2014-08-06 15:57:02.577|	|5225
~~35444|	|2014-08-06 15:57:11.547|	|2014-08-06 15:57:11.547|	|5225
~~35445|	|2014-08-06 15:57:18.837|	|2014-08-06 15:57:18.837|	|5225
~~35446|	|2014-08-06 15:57:26.477|	|2014-08-06 15:57:26.477|	|5225
~~35447|	|2014-08-06 15:57:45.427|	|2014-08-06 15:57:45.427|	|5225
~~35448|	|2014-08-06 15:57:52.007|	|2014-08-06 15:57:52.007|	|5225
~~35449|	|2014-08-06 15:58:07.267|	|2014-08-06 15:58:07.267|	|5225
~~35450|	|2014-08-06 15:58:20.927|	|2014-08-06 15:58:20.927|	|5225
~~35451|	|2014-08-06 15:59:25.067|	|2014-08-06 15:59:25.067|	|5225
~~35452|	|2014-08-06 15:59:38.737|	|2014-08-06 21:40:39.403|	|5277
~~35453|	|2014-08-07 09:03:15.607|	|2014-08-07 09:03:15.607|	|5225
~~35454|	|2014-08-07 09:04:42.867|	|2014-08-07 09:06:10.397|	|5225
~~35455|	|2014-08-07 09:06:20.307|	|2014-08-07 09:06:20.307|	|5225
~~35456|	|2014-08-07 09:06:26.950|	|2014-08-07 09:06:26.950|	|5225
~~35457|	|2014-08-07 09:06:33.560|	|2014-08-07 09:06:33.560|	|5225
~~35458|	|2014-08-07 09:07:17.490|	|2014-08-07 09:07:17.490|	|5225
~~35459|	|2014-08-07 09:07:23.353|	|2014-08-07 09:07:23.353|	|5225
~~35460|	|2014-08-07 09:07:34.443|	|2014-08-07 09:07:34.443|	|5225
~~35461|	|2014-08-07 09:07:55.383|	|2014-08-07 09:07:55.383|	|5225
~~35462|	|2014-08-07 09:08:01.363|	|2014-08-07 09:08:01.363|	|5225
~~35463|	|2014-08-07 11:06:07.030|	|2014-08-07 11:06:07.030|	|8643
~~35464|	|2014-08-07 11:06:27.607|	|2014-08-07 11:06:27.607|	|8643
~~35465|	|2014-08-07 11:06:48.573|	|2014-08-07 11:06:48.573|	|8643
~~35466|	|2014-08-07 12:27:47.963|	|2014-08-07 12:27:47.963|	|5225
~~35467|	|2014-08-07 12:27:58.273|	|2014-08-07 12:27:58.273|	|5225
~~35468|	|2014-08-07 12:28:13.330|	|2014-08-07 12:28:13.330|	|5225
~~35469|	|2014-08-07 12:44:57.747|	|2014-08-07 12:44:57.747|	|5770
~~35470|	|2014-08-07 12:45:52.457|	|2014-08-07 12:45:52.457|	|5770
~~35471|	|2014-08-07 12:46:12.297|	|2014-08-07 12:46:12.297|	|5770
~~35472|	|2014-08-07 12:46:59.347|	|2014-08-07 12:46:59.347|	|5770
~~35473|	|2014-08-07 13:13:30.527|	|2014-08-07 13:13:30.527|	|8643
~~35474|	|2014-08-07 13:13:49.593|	|2014-08-07 13:13:49.593|	|8643
~~35475|	|2014-08-07 13:13:53.627|	|2014-08-07 13:13:53.627|	|5770
~~35476|	|2014-08-07 13:19:05.297|	|2014-08-07 13:19:05.297|	|8643
~~35477|	|2014-08-07 13:19:22.257|	|2014-08-07 13:19:22.257|	|8643
~~35478|	|2014-08-07 13:19:37.950|	|2014-08-07 13:19:37.950|	|8643
~~35479|	|2014-08-07 13:25:02.360|	|2014-08-07 13:25:02.360|	|8643
~~35480|	|2014-08-07 13:25:38.753|	|2014-08-07 13:25:38.753|	|8643
~~35481|	|2014-08-07 13:26:02.717|	|2014-08-07 13:26:02.717|	|8643
~~35482|	|2014-08-07 13:28:31.403|	|2014-08-07 13:28:31.403|	|8643
~~35483|	|2014-08-07 13:28:49.250|	|2014-08-07 13:28:49.250|	|8643
